"SourceFile","ID","CreateDate","Duration","Latitude","Longitude","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour"
"meta-uJnCqo00NHIl.json",NA,"2021:01:06 16:51:28","0:01:04","38 deg 53' 27.24"" N","77 deg 1' 54.12"" W",38.8909,-77.0317,64,2021,1,6,16
"meta-uKgvM1r7XCW8.json",NA,"2021:01:06 14:16:31","23.32 s","38 deg 53' 32.28"" N","77 deg 2' 15.36"" W",38.8923,-77.0376,23.32,2021,1,6,14
"meta-ul321O6nbneR.json",NA,"2021:01:06 17:27:41","0:00:58","38 deg 53' 28.32"" N","77 deg 2' 11.76"" W",38.8912,-77.0366,58,2021,1,6,17
"meta-uLrMp3ouT1vK.json",NA,"2021:01:06 18:35:53","0:00:30","38 deg 53' 24.36"" N","77 deg 0' 37.80"" W",38.8901,-77.0105,30,2021,1,6,18
"meta-uNCFWGRYTS6C.json",NA,"2021:01:06 15:09:30","28.39 s","38 deg 53' 33.36"" N","77 deg 2' 0.24"" W",38.8926,-77.0334,28.39,2021,1,6,15
"meta-uO3OyLcDfy9p.json",NA,"2021:01:06 14:54:04","16.23 s","38 deg 53' 26.88"" N","77 deg 2' 11.04"" W",38.8908,-77.0364,16.23,2021,1,6,14
"meta-UOkSuERIMvZT.json",NA,"2021:01:06 18:44:20","0:00:43","38 deg 53' 26.52"" N","77 deg 0' 43.56"" W",38.8907,-77.0121,43,2021,1,6,18
"meta-UPriYin65X3Z.json",NA,"2021:01:06 14:44:53","9.80 s","38 deg 53' 27.60"" N","77 deg 2' 9.96"" W",38.891,-77.0361,9.8,2021,1,6,14
"meta-UrD1KUHibZKT.json",NA,"2021:01:06 16:32:43","16.91 s","38 deg 53' 31.56"" N","77 deg 2' 12.48"" W",38.8921,-77.0368,16.91,2021,1,6,16
"meta-urT0pVgcvy6B.json",NA,"2021:01:06 21:49:43","0:00:54","38 deg 53' 21.48"" N","77 deg 0' 36.36"" W",38.8893,-77.0101,54,2021,1,6,21
"meta-USL1VqJU22z1.json",NA,"2021:01:06 00:11:14","29.99 s","38 deg 53' 46.32"" N","77 deg 2' 51.36"" W",38.8962,-77.0476,29.99,2021,1,6,0
"meta-uu11kCrXZa78.json",NA,"2021:01:06 19:30:23","0:00:49","38 deg 53' 22.20"" N","77 deg 0' 38.88"" W",38.8895,-77.0108,49,2021,1,6,19
"meta-uubSmmMAYMQh.json",NA,"2021:01:06 19:53:40","29.19 s","38 deg 53' 31.56"" N","77 deg 0' 49.32"" W",38.8921,-77.0137,29.19,2021,1,6,19
"meta-uxifQpI6dByQ.json",NA,"2021:01:06 02:41:14","20.32 s","38 deg 53' 18.60"" N","77 deg 0' 43.56"" W",38.8885,-77.0121,20.32,2021,1,6,2
"meta-Uz8egDxB46p8.json",NA,"2021:01:06 19:07:58","0:00:48","38 deg 53' 23.28"" N","77 deg 0' 39.24"" W",38.8898,-77.0109,48,2021,1,6,19
"meta-uZGNteDG572x.json",NA,"2021:01:06 16:59:04","0:00:34","38 deg 53' 26.52"" N","77 deg 2' 8.88"" W",38.8907,-77.0358,34,2021,1,6,16
"meta-V0DgB2ob5jKb.json",NA,"2021:01:06 16:15:31","9.23 s","38 deg 53' 30.84"" N","77 deg 2' 11.04"" W",38.8919,-77.0364,9.23,2021,1,6,16
"meta-V3CaS3mUGMr4.json",NA,"2021:01:06 21:11:29","0:00:30","38 deg 53' 23.28"" N","77 deg 0' 37.80"" W",38.8898,-77.0105,30,2021,1,6,21
"meta-v3L3Z8dRzSnu.json",NA,"2021:01:06 20:05:34","0:00:57","38 deg 53' 10.32"" N","77 deg 0' 36.36"" W",38.8862,-77.0101,57,2021,1,6,20
"meta-v63BKYYYkJiU.json",NA,"2021:01:06 20:37:11","0:00:54","38 deg 53' 23.28"" N","77 deg 0' 51.48"" W",38.8898,-77.0143,54,2021,1,6,20
"meta-V64JKsaNUkd7.json",NA,"2021:01:06 20:47:19","0:00:39","38 deg 53' 23.64"" N","77 deg 0' 36.00"" W",38.8899,-77.01,39,2021,1,6,20
"meta-v7WuuCUCUgtD.json",NA,"2021:01:06 20:38:05","7.31 s","38 deg 53' 22.92"" N","77 deg 0' 26.64"" W",38.8897,-77.0074,7.31,2021,1,6,20
"meta-v86cAAcKaAx7.json",NA,"2021:01:06 20:10:29","16.01 s","38 deg 53' 21.48"" N","77 deg 0' 38.52"" W",38.8893,-77.0107,16.01,2021,1,6,20
"meta-VAqVZdQG57Xs.json",NA,"2021:01:06 14:13:20","9.94 s","38 deg 53' 44.16"" N","77 deg 1' 55.20"" W",38.8956,-77.032,9.94,2021,1,6,14
"meta-Vb5HCAXswehl.json",NA,"2021:01:06 19:00:01","0:01:01","38 deg 53' 23.28"" N","77 deg 0' 28.08"" W",38.8898,-77.0078,61,2021,1,6,19
"meta-VBc81C9bHigX.json",NA,"2021:01:06 13:40:38","0:00:31","38 deg 53' 27.60"" N","77 deg 2' 10.68"" W",38.891,-77.0363,31,2021,1,6,13
"meta-VbdO03aG0roa.json",NA,"2021:01:06 16:58:03","0:00:34","38 deg 53' 27.60"" N","77 deg 2' 11.76"" W",38.891,-77.0366,34,2021,1,6,16
"meta-VD7kpNgyWEaK.json",NA,"2021:01:06 03:56:40","0:00:42","38 deg 54' 3.96"" N","77 deg 1' 30.00"" W",38.9011,-77.025,42,2021,1,6,3
"meta-VDvVSLkluqQ7.json",NA,"2021:01:06 20:38:55","0:00:31","38 deg 53' 31.56"" N","77 deg 2' 13.56"" W",38.8921,-77.0371,31,2021,1,6,20
"meta-vF0r7gQNd90g.json",NA,"2021:01:06 18:32:19","7.14 s","38 deg 53' 34.08"" N","77 deg 2' 1.32"" W",38.8928,-77.0337,7.14,2021,1,6,18
"meta-Vfb7RDCU9APR.json",NA,"2021:01:06 17:29:06","0:00:48","38 deg 53' 28.32"" N","77 deg 2' 2.76"" W",38.8912,-77.0341,48,2021,1,6,17
"meta-vG5l3QqKIg7v.json",NA,"2021:01:06 14:09:55","0:00:55","39 deg 16' 23.16"" N","77 deg 19' 4.80"" W",39.2731,-77.318,55,2021,1,6,14
"meta-VgRjCIL9L549.json",NA,"2021:01:06 18:54:05","10.91 s","38 deg 53' 29.40"" N","77 deg 0' 57.24"" W",38.8915,-77.0159,10.91,2021,1,6,18
